"delivery_id";"letter_id";"warehouse_id";"delivery_status";"send_date";"delivery_date"
"233";"233";"49";"сборка";NULL;NULL
"234";"234";"118";"доставлен";"2024-12-08";"2024-12-10"
"235";"235";"149";"доставлен";"2024-12-29";"2024-12-31"
"236";"236";"76";"доставлен";"2024-12-12";"2024-12-13"
"237";"237";"113";"доставлен";"2024-12-08";"2024-12-09"
"238";"238";"60";"доставлен";"2024-12-06";"2024-12-11"
"239";"239";"69";"сборка";NULL;NULL
"240";"240";"10";"сборка";NULL;NULL
"241";"241";"47";"сборка";NULL;NULL
"242";"242";"20";"доставлен";"2024-12-31";"2024-12-31"
"243";"243";"86";"доставляется";"2024-12-27";NULL
"244";"244";"86";"доставлен";"2024-12-15";"2024-12-22"
"245";"245";"134";"доставлен";"2024-12-15";"2024-12-22"
"246";"246";"92";"сборка";NULL;NULL
"247";"247";"19";"доставлен";"2024-12-24";"2024-12-31"
"248";"248";"73";"доставлен";"2024-12-11";"2024-12-17"
"249";"249";"68";"доставляется";"2024-12-23";NULL
"250";"250";"68";"доставлен";"2024-12-08";"2024-12-16"
"251";"251";"124";"доставлен";"2024-12-26";"2024-12-31"
"252";"252";"70";"доставляется";"2024-12-07";NULL
"253";"253";"13";"доставлен";"2024-12-31";"2024-12-31"
"254";"254";"120";"сборка";NULL;NULL
"255";"255";"14";"доставляется";"2024-12-17";NULL
"256";"256";"104";"сборка";NULL;NULL
"257";"257";"122";"доставлен";"2024-12-14";"2024-12-19"
"258";"258";"105";"доставлен";"2024-12-05";"2024-12-06"
"259";"259";"20";"доставлен";"2024-12-07";"2024-12-15"
"260";"260";"16";"доставляется";"2024-12-22";NULL
"261";"261";"5";"доставляется";"2024-12-01";NULL
"262";"262";"82";"доставляется";"2024-12-15";NULL
"263";"263";"56";"сборка";NULL;NULL
"264";"264";"92";"сборка";NULL;NULL
"265";"265";"49";"доставляется";"2024-12-03";NULL
"266";"266";"85";"сборка";NULL;NULL
"267";"267";"41";"доставляется";"2024-12-19";NULL
"268";"268";"54";"доставляется";"2024-12-26";NULL
"269";"269";"145";"доставлен";"2024-12-18";"2024-12-20"
"270";"270";"134";"доставлен";"2024-12-13";"2024-12-17"
"271";"271";"23";"доставлен";"2024-12-21";"2024-12-29"
"272";"272";"149";"доставлен";"2024-12-31";"2024-12-31"
"273";"273";"59";"доставлен";"2024-12-13";"2024-12-19"
"274";"274";"131";"доставлен";"2024-12-01";"2024-12-09"
"275";"275";"13";"доставлен";"2024-12-19";"2024-12-24"
"276";"276";"107";"сборка";NULL;NULL
"277";"277";"150";"доставлен";"2024-12-21";"2024-12-26"
"278";"278";"92";"доставляется";"2024-12-11";NULL
"279";"279";"132";"доставляется";"2024-12-06";NULL
"280";"280";"22";"сборка";NULL;NULL
"281";"281";"65";"доставляется";"2024-12-05";NULL
"282";"282";"148";"сборка";NULL;NULL
"283";"283";"81";"сборка";NULL;NULL
"284";"284";"122";"доставлен";"2024-12-26";"2024-12-30"
"285";"285";"5";"сборка";NULL;NULL
"286";"286";"80";"доставлен";"2024-12-30";"2024-12-31"
"287";"287";"31";"сборка";NULL;NULL
"288";"288";"24";"сборка";NULL;NULL
"289";"289";"113";"доставляется";"2024-12-05";NULL
"290";"290";"45";"доставлен";"2024-12-29";"2024-12-31"
"291";"291";"147";"доставляется";"2024-12-26";NULL
"292";"292";"118";"доставляется";"2024-12-12";NULL
"293";"293";"79";"доставлен";"2024-12-25";"2024-12-28"
"294";"294";"150";"доставлен";"2024-12-22";"2024-12-29"
"295";"295";"51";"доставлен";"2024-12-10";"2024-12-15"
"296";"296";"34";"доставлен";"2024-12-27";"2024-12-31"
"297";"297";"84";"сборка";NULL;NULL
"298";"298";"25";"сборка";NULL;NULL
"299";"299";"93";"доставлен";"2024-12-11";"2024-12-14"
"300";"300";"69";"доставляется";"2024-12-02";NULL
"301";"301";"107";"доставлен";"2024-12-30";"2024-12-31"
"302";"302";"136";"доставляется";"2024-12-26";NULL
"303";"303";"143";"сборка";NULL;NULL
"304";"304";"74";"доставляется";"2024-12-29";NULL
"305";"305";"119";"доставлен";"2024-12-13";"2024-12-20"
"306";"306";"141";"сборка";NULL;NULL
"307";"307";"114";"доставляется";"2024-12-24";NULL
"308";"308";"90";"сборка";NULL;NULL
"309";"309";"61";"доставляется";"2024-12-25";NULL
"310";"310";"48";"доставляется";"2024-12-26";NULL
"311";"311";"50";"сборка";NULL;NULL
"312";"312";"70";"доставляется";"2024-12-04";NULL
"313";"313";"24";"сборка";NULL;NULL
"314";"314";"120";"доставляется";"2024-12-12";NULL
"315";"315";"87";"сборка";NULL;NULL
"316";"316";"112";"доставляется";"2024-12-16";NULL
"317";"317";"71";"сборка";NULL;NULL
"318";"318";"85";"доставлен";"2024-12-06";"2024-12-11"
"319";"319";"5";"доставлен";"2024-12-04";"2024-12-05"
"320";"320";"139";"доставлен";"2024-12-25";"2024-12-29"
"321";"321";"118";"доставлен";"2024-12-19";"2024-12-22"
"322";"322";"59";"доставляется";"2024-12-13";NULL
"323";"323";"81";"сборка";NULL;NULL
"324";"324";"146";"сборка";NULL;NULL
"325";"325";"43";"доставлен";"2024-12-02";"2024-12-03"
"326";"326";"23";"сборка";NULL;NULL
"327";"327";"30";"доставляется";"2024-12-16";NULL
"328";"328";"43";"сборка";NULL;NULL
"329";"329";"66";"сборка";NULL;NULL
"330";"330";"4";"доставляется";"2024-12-24";NULL
"331";"331";"48";"доставлен";"2024-12-13";"2024-12-19"
"332";"332";"120";"доставлен";"2024-12-03";"2024-12-11"
"333";"333";"9";"доставляется";"2024-12-28";NULL
"334";"334";"35";"доставляется";"2024-12-31";NULL
"335";"335";"35";"доставлен";"2024-12-23";"2024-12-30"
"336";"336";"63";"доставляется";"2024-12-09";NULL
"337";"337";"140";"доставлен";"2024-12-20";"2024-12-23"
"338";"338";"86";"доставляется";"2024-12-13";NULL
"339";"339";"63";"доставляется";"2024-12-25";NULL
"340";"340";"14";"сборка";NULL;NULL
"341";"341";"145";"доставлен";"2024-12-14";"2024-12-15"
"342";"342";"142";"доставлен";"2024-12-01";"2024-12-08"
"343";"343";"36";"доставлен";"2024-12-19";"2024-12-22"
"344";"344";"99";"доставляется";"2024-12-29";NULL
"345";"345";"150";"доставляется";"2024-12-01";NULL
"346";"346";"28";"доставлен";"2024-12-19";"2024-12-24"
"347";"347";"46";"доставлен";"2024-12-27";"2024-12-31"
"348";"348";"150";"доставляется";"2024-12-22";NULL
"349";"349";"90";"доставлен";"2024-12-28";"2024-12-29"
"350";"350";"145";"сборка";NULL;NULL
"351";"351";"121";"доставлен";"2024-12-27";"2024-12-31"
"352";"352";"106";"сборка";NULL;NULL
"353";"353";"131";"доставлен";"2024-12-03";"2024-12-04"
"354";"354";"12";"доставляется";"2024-12-16";NULL
"355";"355";"40";"доставляется";"2024-12-21";NULL
"356";"356";"133";"сборка";NULL;NULL
"357";"357";"144";"сборка";NULL;NULL
"358";"358";"110";"отменен";NULL;NULL
"359";"359";"98";"сборка";NULL;NULL
"360";"360";"101";"доставлен";"2024-12-29";"2024-12-31"
"361";"361";"23";"доставляется";"2024-12-23";NULL
"362";"362";"69";"доставлен";"2024-12-08";"2024-12-12"
"363";"363";"61";"доставляется";"2024-12-25";NULL
"364";"364";"125";"сборка";NULL;NULL
"365";"365";"85";"доставляется";"2024-12-11";NULL
"366";"366";"12";"доставляется";"2024-12-19";NULL
"367";"367";"94";"доставлен";"2024-12-15";"2024-12-20"
"368";"368";"122";"сборка";NULL;NULL
"369";"369";"17";"доставляется";"2024-12-26";NULL
"370";"370";"109";"сборка";NULL;NULL
"371";"371";"137";"сборка";NULL;NULL
"372";"372";"49";"доставлен";"2024-12-06";"2024-12-13"
"373";"373";"49";"доставляется";"2024-12-17";NULL
"374";"374";"84";"сборка";NULL;NULL
"375";"375";"140";"доставляется";"2024-12-18";NULL
"376";"376";"122";"доставляется";"2024-12-17";NULL
"377";"377";"106";"доставлен";"2024-12-05";"2024-12-12"
"378";"378";"42";"доставляется";"2024-12-13";NULL
"379";"379";"2";"сборка";NULL;NULL
"380";"380";"61";"доставляется";"2024-12-27";NULL
"381";"381";"139";"доставлен";"2024-12-31";"2024-12-31"
"382";"382";"56";"сборка";NULL;NULL
"383";"383";"128";"сборка";NULL;NULL
"384";"384";"87";"доставлен";"2024-12-08";"2024-12-10"
"385";"385";"9";"доставлен";"2024-12-03";"2024-12-11"
"386";"386";"64";"доставлен";"2024-12-30";"2024-12-31"
"387";"387";"76";"отменен";NULL;NULL
"388";"388";"6";"доставлен";"2024-12-15";"2024-12-22"
"389";"389";"45";"сборка";NULL;NULL
"390";"390";"50";"сборка";NULL;NULL
"391";"391";"104";"доставляется";"2024-12-04";NULL
"392";"392";"105";"сборка";NULL;NULL
"393";"393";"134";"сборка";NULL;NULL
"394";"394";"3";"доставлен";"2024-12-01";"2024-12-09"
"395";"395";"144";"сборка";NULL;NULL
"396";"396";"82";"доставляется";"2024-12-10";NULL
"397";"397";"12";"доставлен";"2024-12-07";"2024-12-14"
"398";"398";"55";"доставляется";"2024-12-09";NULL
"399";"399";"85";"доставляется";"2024-12-08";NULL
"400";"400";"23";"сборка";NULL;NULL
"401";"401";"144";"доставлен";"2024-12-28";"2024-12-31"
"402";"402";"93";"доставлен";"2024-12-30";"2024-12-31"
"403";"403";"68";"сборка";NULL;NULL
"404";"404";"112";"сборка";NULL;NULL
"405";"405";"75";"доставлен";"2024-12-05";"2024-12-06"
"406";"406";"104";"сборка";NULL;NULL
"407";"407";"2";"доставлен";"2024-12-12";"2024-12-15"
"408";"408";"46";"сборка";NULL;NULL
"409";"409";"62";"доставляется";"2024-12-20";NULL
"410";"410";"90";"сборка";NULL;NULL
"411";"411";"47";"доставлен";"2024-12-10";"2024-12-13"
"412";"412";"86";"доставляется";"2024-12-16";NULL
"413";"413";"41";"сборка";NULL;NULL
"414";"414";"7";"доставляется";"2024-12-13";NULL
"415";"415";"22";"доставляется";"2024-12-28";NULL
"416";"416";"22";"доставлен";"2024-12-19";"2024-12-23"
"417";"417";"67";"доставлен";"2024-12-16";"2024-12-20"
"418";"418";"115";"доставляется";"2024-12-10";NULL
"419";"419";"57";"сборка";NULL;NULL
"420";"420";"21";"доставлен";"2024-12-04";"2024-12-08"
"421";"421";"21";"доставлен";"2024-12-30";"2024-12-31"
"422";"422";"66";"доставляется";"2024-12-06";NULL
"423";"423";"124";"доставляется";"2024-12-31";NULL
"424";"424";"21";"сборка";NULL;NULL
"425";"425";"94";"доставляется";"2024-12-06";NULL
"426";"426";"29";"доставлен";"2024-12-18";"2024-12-24"
"427";"427";"79";"доставлен";"2024-12-06";"2024-12-13"
"428";"428";"51";"сборка";NULL;NULL
"429";"429";"54";"сборка";NULL;NULL
"430";"430";"46";"доставлен";"2024-12-25";"2024-12-31"
"431";"431";"1";"сборка";NULL;NULL
"432";"432";"137";"сборка";NULL;NULL
"433";"433";"146";"доставляется";"2024-12-22";NULL
"434";"434";"143";"доставляется";"2024-12-22";NULL
"435";"435";"72";"доставлен";"2024-12-11";"2024-12-12"
"436";"436";"129";"доставлен";"2024-12-11";"2024-12-16"
"437";"437";"139";"сборка";NULL;NULL
"438";"438";"16";"доставляется";"2024-12-01";NULL
"439";"439";"16";"сборка";NULL;NULL
"440";"440";"53";"доставляется";"2024-12-28";NULL
"441";"441";"28";"сборка";NULL;NULL
"442";"442";"36";"доставлен";"2024-12-05";"2024-12-10"
"443";"443";"95";"сборка";NULL;NULL
"444";"444";"86";"доставляется";"2024-12-06";NULL
"445";"445";"81";"доставляется";"2024-12-25";NULL
"446";"446";"10";"сборка";NULL;NULL
"447";"447";"39";"сборка";NULL;NULL
"448";"448";"22";"доставляется";"2024-12-23";NULL
"449";"449";"67";"доставлен";"2024-12-11";"2024-12-17"
"450";"450";"140";"сборка";NULL;NULL
"451";"451";"92";"доставляется";"2024-12-11";NULL
"452";"452";"37";"доставляется";"2024-12-04";NULL
"453";"453";"29";"доставляется";"2024-12-05";NULL
"454";"454";"22";"доставлен";"2024-12-04";"2024-12-11"
"455";"455";"63";"доставлен";"2024-12-11";"2024-12-15"
"456";"456";"94";"доставляется";"2024-12-03";NULL
"457";"457";"120";"сборка";NULL;NULL
"458";"458";"113";"доставляется";"2024-12-11";NULL
"459";"459";"27";"сборка";NULL;NULL
"460";"460";"103";"сборка";NULL;NULL
"461";"461";"93";"сборка";NULL;NULL
"462";"462";"54";"доставлен";"2024-12-28";"2024-12-31"
"463";"463";"64";"доставляется";"2024-12-27";NULL
"464";"464";"31";"доставляется";"2024-12-08";NULL
"465";"465";"55";"доставлен";"2024-12-17";"2024-12-23"
"466";"466";"51";"сборка";NULL;NULL
"467";"467";"102";"доставляется";"2024-12-13";NULL
"468";"468";"10";"доставлен";"2024-12-05";"2024-12-09"
"469";"469";"107";"доставлен";"2024-12-24";"2024-12-30"
"470";"470";"113";"доставлен";"2024-12-07";"2024-12-15"
"471";"471";"93";"доставлен";"2024-12-04";"2024-12-12"
"472";"472";"5";"доставлен";"2024-12-23";"2024-12-28"
"473";"473";"47";"сборка";NULL;NULL
"474";"474";"14";"доставляется";"2024-12-21";NULL
"475";"475";"92";"сборка";NULL;NULL
"476";"476";"122";"сборка";NULL;NULL
"477";"477";"48";"сборка";NULL;NULL
"478";"478";"26";"сборка";NULL;NULL
"479";"479";"97";"доставлен";"2024-12-09";"2024-12-12"
"480";"480";"86";"доставляется";"2024-12-31";NULL
"481";"481";"114";"отменен";NULL;NULL
"482";"482";"139";"доставляется";"2024-12-17";NULL
"483";"483";"44";"доставлен";"2024-12-30";"2024-12-31"
"484";"484";"84";"сборка";NULL;NULL
"485";"485";"41";"доставлен";"2024-12-02";"2024-12-05"
"486";"486";"71";"сборка";NULL;NULL
"487";"487";"99";"доставляется";"2024-12-25";NULL
"488";"488";"46";"сборка";NULL;NULL
"489";"489";"13";"доставляется";"2024-12-04";NULL
"490";"490";"43";"доставлен";"2024-12-09";"2024-12-14"
"491";"491";"73";"доставлен";"2024-12-15";"2024-12-21"
"492";"492";"45";"доставлен";"2024-12-14";"2024-12-18"
"493";"493";"119";"доставлен";"2024-12-01";"2024-12-02"
"494";"494";"20";"доставляется";"2024-12-19";NULL
"495";"495";"146";"доставлен";"2024-12-10";"2024-12-18"
"496";"496";"86";"сборка";NULL;NULL
"497";"497";"17";"доставляется";"2024-12-18";NULL
"498";"498";"89";"сборка";NULL;NULL
"499";"499";"150";"доставлен";"2024-12-30";"2024-12-31"
"500";"500";"54";"доставляется";"2024-12-28";NULL
"501";"501";"118";"отменен";NULL;NULL
"502";"502";"96";"отменен";NULL;NULL
"503";"503";"16";"доставляется";"2024-12-24";NULL
"504";"504";"127";"доставляется";"2024-12-19";NULL
"505";"505";"74";"доставлен";"2024-12-12";"2024-12-15"
"506";"506";"87";"сборка";NULL;NULL
"507";"507";"11";"сборка";NULL;NULL
"508";"508";"55";"доставляется";"2024-12-08";NULL
"509";"509";"38";"доставлен";"2024-12-31";"2024-12-31"
"510";"510";"121";"доставляется";"2024-12-15";NULL
"511";"511";"137";"доставлен";"2024-12-17";"2024-12-18"
"512";"512";"132";"отменен";NULL;NULL
"513";"513";"49";"сборка";NULL;NULL
"514";"514";"34";"доставляется";"2024-12-04";NULL
"515";"515";"135";"доставляется";"2024-12-07";NULL
"516";"516";"16";"сборка";NULL;NULL
"517";"517";"24";"сборка";NULL;NULL
"518";"518";"69";"доставлен";"2024-12-15";"2024-12-21"
